,PMID,FAU,TI,AB,IS,DP,AUID,AID,LA,PL,OT,CI,RN,MH
817,33894767,"['Karamat, Asifa', 'Ambreen, Atiqa', 'Ishtiaq, Aamira', 'Tahseen, Sabira', 'Rahman, Muhammad Aqeelur', 'Mustafa, Tehmina']","Isolation of non-tuberculous mycobacteria among tuberculosis patients, a study from a tertiary care hospital in Lahore, Pakistan.","BACKGROUND: There is scarce knowledge on the prevalence of diseases caused by non-tuberculous mycobacteria (NTM) in Pakistan. In the absence of culture and identification, acid-fast bacilli (AFB) causing NTM disease are liable to be misinterpreted as tuberculosis (TB). Introduction of nucleic acid amplification testing for Mycobacterium tuberculosis complex (MTBC) offers improved diagnostic accuracy, compared with smear microscopy, and also assists in differentiating MTBC from other mycobacteria. This study aimed to investigate the prevalence of NTM among patients investigated for TB and describe NTM disease and treatment outcomes at a tertiary care hospital in Pakistan. METHODS: This is a retrospective study, data on NTM isolates among culture-positive clinical samples over 4 years (2016-19) was retrieved from laboratory records. Information on clinical specimens processed, AFB smear results, and for the AFB positive isolates, results of species identification for MTBC, and for NTM isolates, results of species characterization and drug susceptibility testing was collected. Additional clinical data including patient characteristics, treatment regimens, and outcomes were collected for patients with NTM disease treated at Gulab Devi Hospital, Lahore. RESULTS: During the study period, 12,561 clinical specimens were processed for mycobacterial culture and 3673 (29%) were reported positive for AFB. Among these 3482 (95%) were identified as MTBC and 191 (5%) as NTM. Among NTM, 169 (88%) were isolated from pulmonary and 22 (12%) from extrapulmonary specimens. Results of NTM speciation were available for 60 isolates and included 55% (n = 33) M. avium complex and 25% (n = 15) M. abscesses. Among these patients, complete clinical records were retrieved for 12 patients with pulmonary disease including nine infected with M. avium complex and three with M. abscessus. All 12 patients had a history of poor response to standard first-line anti-TB treatment. Ten patients were cured after 18 months of treatment, whereas, one with M. abscessus infection died and another was lost to follow up. CONCLUSION: In TB endemic areas, NTM can be misdiagnosed as pulmonary TB leading to repeated failed anti-TB treatment and increased morbidity, emphasizing the need for improved diagnosis.",1471-2334 (Electronic) 1471-2334 (Linking),2021 Apr 24,,"['10.1186/s12879-021-06086-8 [doi]', '10.1186/s12879-021-06086-8 [pii]']",['eng'],England,"['Acid-fast microscopy', 'Mycobacterial species', 'NTM pulmonary disease', 'NTM treatment', 'Non-tuberculous mycobacteria', 'Pulmonary tuberculosis']",,,
818,33887244,"['Griffith, David E', 'Thomson, Rachel', 'Flume, Patrick A', 'Aksamit, Timothy R', 'Field, Stephen K', 'Addrizzo-Harris, Doreen J', 'Morimoto, Kozo', 'Hoefsloot, Wouter', 'Mange, Kevin C', 'Yuen, Dayton W', 'Ciesielska, Monika', 'Wallace, Richard J Jr', 'van Ingen, Jakko', 'Brown-Elliott, Barbara A', 'Coulter, Chris', 'Winthrop, Kevin L']",Amikacin Liposome Inhalation Suspension for Refractory MAC Lung Disease: Sustainability and Durability of Culture Conversion and Safety of Long-Term Exposure.,"BACKGROUND: In the CONVERT study, treatment with amikacin liposome inhalation suspension (ALIS) added to guideline-based therapy (GBT) met the primary end point of increased culture conversion by month 6 in patients with treatment-refractory Mycobacterium avium complex (MAC) lung disease (ALIS+GBT, 29% [65/224] vs GBT-alone, 8.9% [10/112], P<.0001). RESEARCH QUESTION: In patients who had culture conversion by month 6 in CONVERT, was conversion sustained (negative sputum cultures for 12 months on treatment) and durable (negative sputum culture for 3 months off treatment), and were there any additional safety signals associated with a full treatment course of 12 months post-conversion? STUDY DESIGN AND METHODS: Adults were randomized 2:1 to receive ALIS+GBT or GBT-alone. Patients achieving culture conversion by month 6 continued therapy for 12 months followed by off-treatment observation. RESULTS: More patients randomized to ALIS+GBT (intention-to-treat) had conversion that was both sustained and durable 3 months off treatment vs patients randomized to GBT-alone (ALIS+GBT, 16.1% [36/224] vs GBT-alone, 0% [0/112], P<.0001). Of the patients who had culture conversion by month 6, 55.4% of converters (36/65) in the ALIS+GBT-treated arm vs no converters (0/10) in the GBT-alone arm had sustained and durable conversion (P=.0017). Relapse rates through 3 months off treatment were 9.2% (6/65) in the ALIS+GBT and 30.0% (3/10) in the GBT-alone arm. Common adverse events among ALIS+GBT-treated patients (dysphonia, cough, dyspnea, hemoptysis) mainly occurred within the first 8 months of treatment. INTERPRETATION: In a refractory population, conversion was sustained and durable in more patients treated with ALIS+GBT for 12 months postconversion than in those treated with GBT-alone. No new safety signals were associated with 12 months of postconversion treatment.",1931-3543 (Electronic) 0012-3692 (Linking),2021 Apr 19,,"['S0012-3692(21)00703-0 [pii]', '10.1016/j.chest.2021.03.070 [doi]']",['eng'],United States,,['Copyright (c) 2021. Published by Elsevier Inc.'],,
819,33886444,"['Gregoire, Emilien', 'Pirotte, Benoit Francois', 'Moerman, Filip', 'Altdorfer, Antoine', 'Gaspard, Laura', 'Firre, Eric', 'Moonen, Martial', 'Darcis, Gilles']",Mycobacterium avium complex and Cryptococcus neoformans co-infection in a patient with acquired immunodeficiency syndrome: a case report.,"Introduction: Opportunistic infections (OI) are common in patients with acquired immunodeficiency syndrome (AIDS). Cryptococcus neoformans and Mycobacterium avium complex (MAC) are frequently responsible of such infections. However, concurrent infection with these two pathogens is uncommon and underreported in the literature.Case description: We describe the case of a 28-year-old Caucasian Belgian patient with no travel history, who presented with low-grade fever, headache and wasting syndrome. He was diagnosed with human immunodeficiency virus (HIV) infection at AIDS stage, with a HIV viral load of 506,000 viral copies/mL and a CD4 + T-cells count of 10 cells/microL. Diagnosis of disseminated Cryptococcus neoformans infection was made by positive serum cryptococcal antigen and positive culture for Cryptococcus neoformans in blood and in cerebrospinal fluid. Diagnosis of disseminated Mycobacterium avium complex infection was made by positive culture on a biopsy of a mediastinal lymph node. With adequate anti-retroviral therapy (ART) and treatment of these OIs, the patient recovered well and had a good clinical evolution.Discussion and conclusion: To our knowledge, this is the second case of coexistence of these two dangerous OIs reported in the post ART era. Clinicians should be aware that such co-infections still happen in high-income countries, in patients with severe immunodeficiency. Early detection and treatment of HIV is of paramount importance to prevent AIDS and its complications. We highlight the importance of thoroughly excluding all opportunistic infections in patients with newly diagnosed AIDS.Abbreviations: ABC: abacavir; AIDS: acquired immunodeficiency syndrome; AFB: acid-fast bacilli; ART: antiretroviral therapy; CM: cryptococcal meningitis; CrAg: cryptococcal antigen; CSF: cerebrospinal fluid; CT: computed tomography; EACS: European AIDS Clinical Society; FTC: emtricitabine; HIC: high-income countries; HIV: human immunodeficiency virus; HIV-VL: HIV-viral load; ICP: intracranial pressure; IRIS: immune reconstitution inflammatory syndrome; MAC: Mycobacterium avium complex; MRI: magnetic resonance imaging; MSM: man who has sex with men; NR: normal range; OD: omne in die = once daily; OI: opportunistic infection; RAL: raltegravir; TAF: tenofovir alafenamide fumarate.",2295-3337 (Electronic) 1784-3286 (Linking),2021 Apr 22,"['ORCID: https://orcid.org/0000-0001-8248-224X', 'ORCID: https://orcid.org/0000-0003-0120-5190', 'ORCID: https://orcid.org/0000-0003-0658-1291']",['10.1080/17843286.2021.1919845 [doi]'],['eng'],England,"['AIDS', 'Cryptococcus neoformans', 'HIV', 'Mycobacterium avium complex', 'opportunistic infections']",,,
820,33880719,"['Hoy, Sheridan M']",Correction to: Amikacin Liposome Inhalation Suspension in Refractory Mycobacterium avium Complex Lung Disease: A Profile of Its Use.,,1179-1918 (Electronic) 1173-2563 (Linking),2021 Apr 20,,"['10.1007/s40261-021-01036-3 [doi]', '10.1007/s40261-021-01036-3 [pii]']",['eng'],New Zealand,,,,
821,33865452,"['Miyashita, Yosuke', 'Hara, Munechika', 'Iwakami, Shin-Ichiro', 'Matsuda, Hironari', 'Iwakami, Naoko', 'Takahashi, Kazuhisa']",Sarcoidosis with marked necrosis in enlarged lymph nodes mimics mycobacterial infection: a case report.,"BACKGROUND: Sarcoidosis is pathologically characterized by the formation of non-necrotizing epithelioid cell granulomas. However, pathological findings of patients with sarcoidosis have rarely revealed necrosis. We report here on a patient with sarcoidosis which needed to be distinguished from infectious disease because of marked necrosis in the lymph nodes. CASE PRESENTATION: A 46-year-old Japanese woman was referred to our hospital due to a dry cough and appetite loss. A chest X-ray and computed tomography revealed markedly enlarged mediastinal and hilar lymph nodes and hepatosplenomegaly. Surgical biopsy of these lymph nodes was performed in order to make a diagnosis. Pathological findings revealed epithelioid cell granuloma with marked necrosis that suggested infectious etiology such as mycobacterial and fungal infections. In addition to the pathological findings, immunoglobulin A (IgA) antibody for Mycobacterium avium complex (MAC), enlargement of lymph nodes and hepatosplenomegaly indicated disseminated MAC, while sarcoidosis was considered as another important differential diagnosis according to elevated angiotensin-converting enzyme, soluble interleukin-2 receptor and uveitis. While waiting for the results of the cultures of acid-fast bacilli, the symptoms of cough and consumption had worsened, and initiation of therapy was required before the confirmed diagnosis. The therapy for MAC was initiated because it was feared that immunosuppressive therapy containing corticosteroid for sarcoidosis could worsen the patient's condition if MAC infection was the main etiology. However, the treatment for MAC was not effective, and it was clarified that no acid-fast bacilli were cultured in the liquid culture medium, so the diagnosis was corrected to sarcoidosis after reconsideration of clinical and pathological findings. Prednisolone (30 mg/day) was administered orally, and the patient's symptoms and radiological findings improved. CONCLUSION: Sarcoidosis must be considered even if pathological findings reveal marked necrosis, because rare cases of sarcoidosis exhibit extensive necrosis in lymph nodes. It is extremely important to carefully examine the clinical and pathological findings through discussion with the examining pathologist to reach the correct diagnosis.",1752-1947 (Electronic) 1752-1947 (Linking),2021 Apr 18,,"['10.1186/s13256-021-02797-3 [doi]', '10.1186/s13256-021-02797-3 [pii]']",['eng'],England,"['Epithelioid cell granuloma', 'Mycobacterial infection', 'Necrosis', 'Necrotizing sarcoid granulomatosis', 'Sarcoidosis']",,['9PHQ9Y1OLM (Prednisolone)'],"['Biopsy', 'Female', 'Granuloma/diagnostic imaging/*pathology', 'Hepatomegaly/diagnostic imaging', 'Humans', 'Japan', 'Lymph Nodes/diagnostic imaging/*pathology', 'Lymphadenopathy/*diagnostic imaging', 'Middle Aged', 'Necrosis/*pathology', 'Prednisolone/therapeutic use', 'Sarcoidosis/diagnosis/drug therapy/*pathology', 'Splenomegaly/diagnostic imaging', 'Tomography, X-Ray Computed']"
822,33900039,"['Kapalamula, Thoko Flav', 'Chizimu, Joseph', 'Belotindos, Lawrence', 'Akapelwa, Mwangala', 'Shrestha, Dipti', 'Nyenje, Mirriam Ethel', 'Munyeme, Musso', ""Hang'ombe, Bernard Mudenda"", 'Mkakosya, Rajhab Sawasawa', 'Gordon, Stephen V', 'Nakajima, Chie', 'Suzuki, Yasuhiko']",Molecular epidemiology of Mycobacterium bovis in central parts of Malawi.,"Bovine tuberculosis (bTB) is a neglected disease that affects cattle and humans. The burden of bTB is higher in developing countries as compared to industrialized countries. The reasons behind this discrepancy include the fact that bTB control measures, such as testing and slaughter of infected cattle and pasteurization of milk, are not usually practiced in developing countries largely because of their high cost. To improve our understanding of bTB in developing countries molecular typing studies are essential, in particular in terms of transmission dynamics, infection sources, and knowledge of circulating strains of the principal causative agent, Mycobacterium bovis. In this study, we applied a suite of molecular typing techniques encompassing deletion analysis, spoligotyping, and MIRU-VNTR to isolates recovered from samples collected during the routine post-mortem of cattle at the cold-storage abattoir in Lilongwe, Malawi. Out of 63 isolates, 51 (81 %) belonged to the European 1 M. bovis clonal complex. Spoligotyping identified 8 profiles, with SB0131 being the predominant type (56% of isolates). Spoligotypes SB0273 and SB0425 were identified in 14% and 13%, respectively, of the isolates. MIRU-VNTR showed a high discriminatory power of 0.959 and differentiated the 8 spoligotypes to 31 genotypes. The high diversity of M. bovis within the study area suggests the infection has been circulating in the area for a considerable period of time, likely facilitated by the lack of effective control measures. We also observed genetic similarities between isolates from Malawi (this study) to isolates described in previous studies in Zambia and Mozambique, suggesting transmission links in this region. The information provided by this study provides much needed evidence for the formulation of improved bTB control strategies.",1865-1682 (Electronic) 1865-1674 (Linking),2021 Apr 26,"['ORCID: https://orcid.org/0000-0001-7224-1071', 'ORCID: https://orcid.org/0000-0002-1313-1494']",['10.1111/tbed.14127 [doi]'],['eng'],Germany,"['Mycobacterium bovis', 'Bovine tuberculosis', 'Deletion analysis', 'MIRU-VNTR', 'Spoligotyping']",['This article is protected by copyright. All rights reserved.'],,
823,33900037,"['Squarre, David', 'Chizimu, Joseph', 'Nakajima, Chie', 'Muma, John B', ""Hang'ombe, Bernard M"", 'Simulundu, Edgar', 'Mwasinga, Wizaso', 'Katampi, Jackson', 'Fandamu, Paul', 'Mukonka, Victor', 'Suzuki, Yasuhiko', 'Sawa, Hirofumi', ""Munang'andu, Hetron M"", 'Shanungu, Griffin', 'Chambaro, Herman M', 'Munyeme, Musso']",First report of Mycobacterium bovis in wild chacma baboons (Papio ursinus) at the human-wildlife interface area in Zambia.,"Mycobacterium bovis (M. bovis) causes tuberculosis in mammals and is a major public health threat worldwide. While M. bovis has been reported in humans, domestic and wild ruminants at the human-wildlife-livestock interface area in Zambia, there is paucity of information on the role of primates as reservoir hosts. We screened seven wild chacma baboons (Papio ursinus) for tuberculosis at the human-wildlife interface area in Lochinvar National Park in the Kafue Flats, Zambia. Following necropsy, lung tissue and associated lymph nodes with tuberculous-like lesions collected from four adult male baboons were prepared for Mycobacterium culture. The isolates were initially typed using the Mycobacterium tuberculosis complex-discrimination multiplex PCR assay and further characterized by spoligotyping and 26-loci MIRU-VNTR. Mycobacteria was isolated from all four animals and identified as M. bovis by PCR. On Spoligotyping, all isolates belonged to SB 0120 spoligotype, which is similar to what was previously reported in humans, cattle and Kafue lechwe antelopes in Kafue Flats ecosystem. Furthermore, on MIRU-VNTR typing, the baboon isolates clustered with cattle and Kafue lechwe isolates from the same catchment area. This finding intimates probable cross species transmission of M. bovis in the Kafue Flats ecosystem. Due to the close interaction of baboons and humans at interface areas in Zambia, our results have potential implications for public health. Equally, this finding raises concerns for conservation.",1865-1682 (Electronic) 1865-1674 (Linking),2021 Apr 26,"['ORCID: https://orcid.org/0000-0002-2126-5759', 'ORCID: https://orcid.org/0000-0001-9423-0816', 'ORCID: https://orcid.org/0000-0002-1313-1494', 'ORCID: https://orcid.org/0000-0001-7224-1071']",['10.1111/tbed.14124 [doi]'],['eng'],Germany,"['Mycobacterium bovis', 'Baboons', 'Human-wildlife-livestock interface', 'MIRU-VNTR', 'Spoligotyping', 'Tuberculosis', 'Zambia']",['This article is protected by copyright. All rights reserved.'],,
824,33900034,"['Meiring, Christina', 'Higgitt, Roxanne', 'Goosen, Wynand J', 'van Schalkwyk, Louis', 'de Klerk-Lorist, Lin-Mari', 'Buss, Peter', 'van Helden, Paul D', 'Parsons, Sven D C', 'Moller, Marlo', 'Miller, Michele']",Shedding of Mycobacterium bovis in respiratory secretions of free-ranging wild dogs (Lycaon pictus): Implications for intraspecies transmission.,"It has recently been discovered that Mycobacterium bovis (M. bovis) causes disease in the endangered African wild dog (Lycaon pictus) in areas endemic for bovine tuberculosis (bTB), including the Kruger National Park (KNP). However, information on M. bovis infection dynamics within this species is limited and requires investigation as M. bovis can cause conservation consequences due to movement restrictions, crucial for genetic management. This study had two aims: to investigate mycobacterial shedding in free-ranging wild dogs from KNP by culturing oropharyngeal swab (OS) and bronchoalveolar lavage (BAL) samples; and to determine the test association between antemortem culture and interferon gamma release assay (IGRA) results as well as agreement between OS culture and BAL culture results. Mycobacterial culture revealed that 6 of 173 (3.5%) OS samples and 1 of 32 (3.1%) BAL samples were M. bovis culture-positive, suggesting that wild dogs can shed M. bovis through respiratory secretions. However, the possibility of contamination by ingestion of infected prey cannot be excluded in wild dogs with positive OS culture results. Furthermore, the test outcomes between IGRA and culture (OS and BAL) differed substantially, with 134 out of 172 wild dogs having IGRA positive results (detectable M. bovis immune sensitization), whereas only 7 out of 173 wild dogs had culture-positive results. These findings suggest that intraspecies transmission of M. bovis may be possible among wild dogs. Although the risk of intraspecies transmission is currently unknown, this knowledge is important for assessing the risk of M. bovis transmission from infected wild dogs to uninfected populations during translocations.",1865-1682 (Electronic) 1865-1674 (Linking),2021 Apr 26,"['ORCID: https://orcid.org/0000-0003-4332-3945', 'ORCID: https://orcid.org/0000-0001-6614-9084', 'ORCID: https://orcid.org/0000-0003-4365-4904', 'ORCID: https://orcid.org/0000-0002-9033-9686', 'ORCID: https://orcid.org/0000-0002-0805-6741']",['10.1111/tbed.14125 [doi]'],['eng'],Germany,"['Mycobacterium bovis', 'African wild dog', 'Kruger National Park', 'bovine tuberculosis', 'intraspecies transmission', 'mycobacterial shedding']",['This article is protected by copyright. All rights reserved.'],,
825,33900033,"['Jimenez-Ruiz, S', 'Garcia-Bocanegra, I', 'Acevedo, P', 'Espunyes, J', 'Triguero-Ocana, R', 'Cano-Terriza, D', 'Torres-Sanchez, M J', 'Vicente, J', 'Risalde, M A']",A survey of shared pathogens at the domestic-wild ruminants' interface in Donana National Park (Spain).,"A cross-sectional study was carried out to evaluate shared pathogens that can be transmitted by close or non-close contact at the domestic-wild ruminants' interface. During summer-autumn 2015, a total of 138 cattle and 203 wild ruminants (red deer, Cervus elaphus, and fallow deer, Dama dama) were sampled in Donana National Park (DNP, south-western Spain), a Mediterranean ecosystem well known for the interaction network occurring in the ungulate host community. Pestiviruses, bovine respiratory syncytial virus (BRSV; Bovine orthopneumovirus), bovine herpesvirus 1 (BoHV-1; Bovine alphaherpesvirus 1) and Mycobacterium tuberculosis complex (MTC) were assessed using serological, microbiological and molecular techniques. The overall seroprevalence against viruses in cattle was 2.2% for pestiviruses, 11.6% for BRSV and 27.5% for BoHV-1. No virus-specific antibodies were found in wildlife. MTC incidence in cattle was 15.9% and MTC seroprevalence in wild ruminants was 14.3%. The same Mycobacterium bovis spoligotypes (SB1232, SB1230 and SB1610) were identified in cattle, red deer and fallow deer. The serological results for the selected respiratory viruses suggest epidemiological cycles only in cattle. Surveillance efforts in multi-host epidemiological scenarios are needed to better drive and prioritize control strategies for shared pathogens.",1865-1682 (Electronic) 1865-1674 (Linking),2021 Apr 26,"['ORCID: https://orcid.org/0000-0002-8692-1593', 'ORCID: https://orcid.org/0000-0001-5657-2567', 'ORCID: https://orcid.org/0000-0001-8416-3672']",['10.1111/tbed.14126 [doi]'],['eng'],Germany,"['Mycobacterium tuberculosis complex', 'bovine herpesvirus 1', 'bovine respiratory syncytial virus', 'cattle', 'pestiviruses', 'wild ruminants']",['This article is protected by copyright. All rights reserved.'],,
826,33896359,"['Raheem, T Y', 'Ojo, O', 'Adenipekun, E O', 'Olalekan, A O', 'Oluwadun, A', 'Iwalokun, B A']","Performance assessment of SD Bioline TB MPT64 assay for the diagnosis of Mycobacterium tuberculosis complex in Lagos, Nigeria.","This study assessed the performance of SD Bioline MPT64 immunochromatographic test for the identification of Mycobacterium tuberculosis complex (MTBC) in Nigeria.A total of 157 mycobacterial isolates, comprising 120 (76.4%) MTBC (M. tuberculosis, 112; M. africanum, 5; M. bovis, 3) and 37 (23.6%) non-tuberculous mycobacteria (NTM) isolates from patients attending six DOTS centers in Lagos between June 2012 and July 2014 were analyzed. All the isolates were grown on Bactec MGIT960 liquid media and identified in parallel by the conventional method and MPT64 immunochromatographic test. Discrepant results were resolved using the line probe assay.The comorbid disease rates for HIV and type 2 diabetes were 20.9% and 8.2%, respectively. Compared to the conventional method, SD Bioline MPT64 identified 117 MTBC isolates correctly, producing a sensitivity of 97.5% (95% CI, 92.9-99.2) at a shorter growing median time of 11 days compared to 26 days by the conventional method. The three undetected MTBC were confirmed by the line probe assay to be M. tuberculosis strains. The test also identified all the NTM correctly producing a specificity of 100% (95% CI, 90.7-100).This study supports the integration of SD Bioline TB MPT64 antigen test into diagnostic workflow for rapid MTBC case identification in Nigeria.",1532-4230 (Electronic) 1532-1819 (Linking),2021 Apr 25,,['10.1080/15321819.2021.1911812 [doi]'],['eng'],England,"['M. tuberculosis complex', 'MPT64', 'TB diagnosis', 'non-tuberculous mycobacteria']",,,
827,33894881,"['Santos, Igor R', 'Henker, Luan C', 'Bandinelli, Marcele B', 'Bianchi, Matheus V', 'Vielmo, Andreia', 'Taunde, Paula A', 'Schwertz, Claiton I', 'Konradt, Guilherme', 'Vargas, Thaina P', 'Driemeier, David', 'Pavarini, Saulo P']",Pathology of Gastrointestinal Tuberculosis in Cattle.,"We describe the pathology of gastrointestinal tuberculosis in three cows. Gross lesions were found in the jejunum and ileum in all cases, and were characterized by button-shaped ulcers in the mucosa overlying Peyer's patches and adjacent mucosa. One case had similar changes in the pyloric region of the abomasum. In the affected intestinal segments, marked granulomatous inflammation effaced the lymphoid follicles of Peyer's patches and often extended transmurally. Transmural granulomatous inflammation was also found in the abomasum of one cow. Acid-fast bacilli were identified by the Ziehl-Neelsen method and the lesions were immunolabelled by an anti-Mycobacterium tuberculosis complex antibody. M. tuberculosis var. bovis was isolated in one case. Disseminated tuberculosis and marked lung lesions in all cows suggested that the gastrointestinal lesions were most likely secondary to pulmonary infection.",1532-3129 (Electronic) 0021-9975 (Linking),2021 Apr,,"['S0021-9975(21)00014-1 [pii]', '10.1016/j.jcpa.2021.01.008 [doi]']",['eng'],England,"['Mycobacterium tuberculosis', 'cattle', 'granulomatous inflammation', 'infectious disease']",['Copyright (c) 2021 Elsevier Ltd. All rights reserved.'],,
828,33894619,"['Blanco, Federico C', 'Garcia, Elizabeth A', 'Aagaard, Claus', 'Bigi, Fabiana']",The subunit vaccine H65 + CAF01 increased the BCG- protection against Mycobacterium bovis infection in a mouse model of bovine tuberculosis.,"H65, a fusion protein of three pairs of ESX-secreted antigens of Mycobacterium tuberculosis and Mycobacterium bovis, formulated with the liposomal adjuvant CAF01 has been shown to confer protection against M. tuberculosis infection in mice. In this study, we evaluated the impact of combining BCG with H65 + CAF01 immunization in a M. bovis mouse model of infection. We found that a BCG-H65 + CAF01/ H65 + CAF01 prime-boost scheme induced higher protection than BCG and H65 + CAF01 alone. Altogether, H65 antigen formulated in liposomal adjuvant improved the BCG-induced immune protection, thus making this vaccine strategy a promising tool to control bovine tuberculosis.",1532-2661 (Electronic) 0034-5288 (Linking),2021 Apr 14,,"['S0034-5288(21)00113-2 [pii]', '10.1016/j.rvsc.2021.04.014 [doi]']",['eng'],England,"['CAF01', 'H65', 'Mycobacterium bovis', 'Vaccine']",['Copyright (c) 2021 Elsevier Ltd. All rights reserved.'],,
829,33892015,"['Song, Yinjuan', 'Dong, Yuhui', 'Liao, Yi', 'Liang, Zhengmin', 'Yao, Jiao', 'Zhou, Xiangmei']",Apoptotic caspases suppress Mycobacterium bovis-induced IFN-beta production in murine macrophage.,"Caspases are classified as inflammatory or apoptotic category. Inflammatory caspases participate in inflammasome activation, while apoptotic caspases mediate apoptotic activation. Previous studies have shown that apoptotic caspases prevent the production of IFN-beta during apoptosis or virus infection. However, the relationship between apoptotic caspases and IFN-beta production during intracellular bacterial infection is still unclear. Here, we investigated the role of apoptotic caspases in IFN-beta production induced by Mycobacterium bovis (M. bovis) infection. M. bovis is an intracellular bacterium and belongs to the Mycobacterium tuberculosis complex. M. bovis infection can cause tuberculosis in animals and human beings. In the current study, we found that M. bovis infection triggered mitochondrial stress, which caused the leakage of cytochrome c into the cytoplasm, and in turn, activated the downstream caspase-9 and-3. Furthermore, our results showed that activation of apoptotic caspases reduced IFN-beta production during M. bovis infection and vice versa. Confocal microscopy analysis revealed that apoptotic caspases prevented IFN-beta production by decreasing p-IRF3 nuclear translocation. Our findings demonstrate that apoptotic caspases negatively regulate the production of IFN-beta induced by an intracellular bacterial infection.",1532-2742 (Electronic) 0163-4453 (Linking),2021 Apr 20,,"['S0163-4453(21)00200-0 [pii]', '10.1016/j.jinf.2021.04.014 [doi]']",['eng'],England,"['Apoptotic caspases', 'IFN-beta', 'Macrophage', 'Mitochondrial stress', 'Mycobacterium bovis']",['Copyright (c) 2021. Published by Elsevier Ltd.'],,
830,33880367,"['Javed, Maryam', 'Raza, Syed Ahmed', 'Nadeem, Asif', 'Ali, Muhammad Muddassir', 'Shehzad, Wasim', 'Mehmood, Khalid']",Exploring the Potential of Interferon Gamma Gene as Major Immune Responder for Bovine Tuberculosis in River Buffalo.,"Bovine tuberculosis (bTB) is a widespread zoonotic infection targeting the livestock sector, especially in developing countries, and posing a risk to humans and animal populations. Its recent prevalence in river buffaloes has been estimated as higher as 33.7%. In emergent countries like Pakistan, there is likeliness of human-livestock interfaces extensively and lacking of effective preventive measures that illustrate the risk of spreading the infection at a remarkable rate. The river buffalo (Bubalus bubalis) is an upkeep host of Mycobacterium bovis and is responsible for disease transmission among buffaloes and other livestock species. In this study, potential molecular biomarkers in the Interferon-gamma gene (IFNg) were identified after genomic screening of river buffaloes. Unique genomic loci in river buffalo proved the novelty of the genomic structure of this phenomenal animal but also highlighted its significance in natural immunity against the Mycobacterium. A total of eight single nucleotide polymorphisms were identified in the coding region of IFNg. The SNPs in the exonic region were all transitions, i.e., the conversion of purines to purines. These SNPs were analyzed for Hardy Weinberg Equilibrium, chi(2) test, gene diversity, and protein structural conformation. Pathway analysis in tuberculosis revealed that IFNg inhibits the antigen-presenting cells (APC) through JAK and STAT pathways. Network analysis of IFNg proteins in both species showed strong associations among the immunity-related proteins (interleukins, tissue necrosis factors) and receptors of interferons. The identified polymorphic sites might be novel-potentiated markers for the selection of animals with superior immune response against bTB and can be exploited as promising genomic sites for breeding the resistant animal herds to combat Mycobacterium infection in a long run.",2314-6141 (Electronic),2021,"['ORCID: https://orcid.org/0000-0002-3115-282X', 'ORCID: https://orcid.org/0000-0002-8500-7855', 'ORCID: https://orcid.org/0000-0003-4720-8792']",['10.1155/2021/5532864 [doi]'],['eng'],United States,,['Copyright (c) 2021 Maryam Javed et al.'],,
831,33872473,"['Retamal, Patricio', 'Abalos, Pedro', 'Alegria, Raul', 'Valdivieso, Nicolas', 'Vordermeier, Martin', 'Jones, Gareth', 'Saadi, Karina', 'Perez Watt, Carolina', 'Salinas, Constanza', 'Avila, Constanza', 'Padilla, Valentina', 'Benavides, Belen', 'Orellana, Romina']",Vaccination of Holstein heifers with Mycobacterium bovis BCG strain induces protection against bovine tuberculosis and higher milk production yields in a natural transmission setting.,"Bovine tuberculosis (TB) is a chronic disease caused mainly by Mycobacterium bovis, a zoonotic pathogen that has a worldwide distribution causing serious economic losses for milk and meat producers. In Chile the disease in dairy cattle has a heterogeneous distribution, where the Metropolitan Region concentrates the highest animal prevalence and the main challenge for the national control and eradication program. In this epidemiological context, vaccination with the M. bovis Bacillus Calmette-Guerin (BCG) vaccine might be a useful strategy for disease prevention and control. The objective of this study was to assess the efficacy and impacts on productivity and fertility of vaccination with the BCG Russia strain in 11-month-old heifers from a dairy farm, under a natural transmission condition. Sixty-two animals were vaccinated via the subcutaneous route with the equivalent of 1 human dose of BCG and 60 control animals received saline. Subsequently, blood sampling was performed at 3, 6, 9, 12, 15 and 18 months post inoculation, and infection status was determined using the IFNgamma release assay (IGRA)with the DIVA (Differentiate Infected from Vaccinated Animals) antigens ESAT-6, CFP-10 and Rv3615c. Efficacy was calculated as the percentage of reduction in the incidence of infection attributable to vaccination, which showed a statistically significant level of overall protection of 66.5%. No adverse effects on fertility and production were recorded. In contrast, we observed beneficial effects of vaccination on several milk production parameters, with the milk yield in the first 100 days after calving in the BCG group significantly higher compared to unvaccinated heifers( p <0.05).These results suggest that BCG vaccination of heifers in a natural transmission setting might result in both sanitary and productive benefits, supporting its implementation as a new strategy for TB prevention in a high prevalence area of Chile.",1865-1682 (Electronic) 1865-1674 (Linking),2021 Apr 19,['ORCID: https://orcid.org/0000-0001-8597-9550'],['10.1111/tbed.14108 [doi]'],['eng'],Germany,"['BCG vaccine', 'Chile', 'cattle', 'tuberculosis']",['This article is protected by copyright. All rights reserved.'],,
